Country_of_origin,Latitude,Longitude
Brazil,-5.809995505,-46.14998438
Burundi,-3.166703921,30.51669662
China,39.83003522,97.72999304
Colombia,5.346999095,-72.4059986
Costa Rica,9.991997986,-84.12000251
Ivory Coast,8.280000029,-7.684001549
Ecuador,-1.483002014,-77.98699756
El Salvador,13.91900399,-89.84500155
Ethiopia,7.059996077,38.47699862
Guatemala,15.10299903,-90.31400061
Haiti,18.63393473,-74.11842526
Honduras,15.05999711,-87.29000054
India,15.491997,73.81800065
Indonesia,3.620359109,98.50007524
Japan,34.67202964,133.9170865
Kenya,-0.41699699,36.95100363
Laos,20.2775,100.4127778
Malawi,-11.9,33.6
Mauritius,-20.31619017,57.51663367
Mexico,30.76405113,-116.0092603
Myanmar,20.984812,96.05161
Nicaragua,13.47599712,-86.58299659
Panama,9.541686355,-78.97196299
Papua New Guinea,-5.490000005,143.7180037
Peru,-6.629997133,-79.80002344
Philippines,10.55037539,123.3800036
Rwanda,-2.483297945,29.5667016
Taiwan,24.9575,121.2988889
Tanzania,-5.063463959,39.725799
Thailand,19.30100405,97.96899665
Uganda,-0.3088889,32.225
United States,44.29048647,-93.26801274
Hawaii,19.598516,-155.51855
Puerto Rico,18.00038576,-66.61664209
Vietnam,11.32299911,106.1469997
Zambia,-9.779520651,29.08002315
